DataVenda;ValorVenda;IdFormaDePagamento;FormaPagamento;TipoFormaPagamento;NumeroParcelas;Cliente_Codigo;Cliente_Data_Nascimento;UF_Cliente;CanalVenda
2011-05-05 12:14:00;69,00;1;Boleto Bancário;Boleto Bancário;1;1;2008-01-01;RJ;UOLBOTAOMAR
2011-05-10 16:20:00;442,80;1;Boleto Bancário;Boleto Bancário;1;1;2008-01-01;RJ;Opote
2011-05-15 22:42:00;269,00;1;Boleto Bancário;Boleto Bancário;1;1;2008-01-01;RJ;
2011-07-08 18:52:00;199,00;2;Visa;Cartão de Crédito;1;1;2008-01-01;RJ;
2011-02-11 12:54:00;522,50;3;MasterCard;Cartão de Crédito;10;43;1960-06-23;MA;xptoourNcl1
2011-03-18 09:47:00;501,00;2;Visa;Cartão de Crédito;10;43;1960-06-23;MA;xptoourncl
2011-02-09 21:29:00;173,90;1;Boleto Bancário;Boleto Bancário;1;55;1956-07-19;CE;xptoourMasc1
2011-06-02 08:31:00;237,99;1;Boleto Bancário;Boleto Bancário;1;55;1956-07-19;CE;xptoxjH
2011-05-04 16:05:00;73,65;2;Visa;Cartão de Crédito;1;70;1972-07-07;RJ;xptosfolder
2011-05-04 16:49:00;73,65;1;Boleto Bancário;Boleto Bancário;1;70;1972-07-07;RJ;xptosfolder
2011-04-27 23:03:00;778,00;3;MasterCard;Cartão de Crédito;2;71;1978-01-16;SP;
2011-02-08 16:51:00;294,10;1;Boleto Bancário;Boleto Bancário;1;74;1974-02-19;SP;
2011-01-27 10:41:00;357,00;1;Boleto Bancário;Boleto Bancário;1;74;1974-02-19;SP;xptoourMasc1
2011-07-21 11:08:00;431,275;1;Boleto Bancário;Boleto Bancário;1;74;1974-02-19;SP;xptockjH
2011-01-11 13:29:00;678,00;2;Visa;Cartão de Crédito;1;101;1980-09-28;RO;
2011-01-11 11:53:00;388,00;2;Visa;Cartão de Crédito;4;133;1977-03-14;SE;
2011-01-19 10:56:00;460,00;3;MasterCard;Cartão de Crédito;4;133;1977-03-14;SE;
2011-03-25 11:24:00;199,00;3;MasterCard;Cartão de Crédito;2;133;1977-03-14;SE;xptoourmasc1
